name,name_en,biz_no,corp_no,entity_type,ceo_name,biz_type,biz_class,ksic_code,iaf_code,scope_kr,scope_en,address,address_en,tel,email,website,employee_count,headcount_regular,headcount_non_regular,headcount_outsourced,headcount_certified,status,tax_contact_name,tax_email,is_active
㈜ 앨파스,"ALFAS Co., Ltd.",609-81-57236,,,김원수,"제조, 부동산업","볼트, 스크류",2594,17B,"자동차 부품 조립용 볼트, 스크류, 리벳의 생산","Manufacture of Bolt, screw and revet for Automobile parts",경상남도 함안군 칠서면 공단서길 186 (대치리),"186, Gongdanseo-gil, Chilseo-myeon, Haman-gun, Gyeongsangnam-do, KOREA ",,,,0,,,,,,,,True
㈜신안정보통신,"Shinan Information Comm. Co., Ltd.",138-81-14337,,,"주을목, 주기철","건설업, 제조업, 도소매, 서비스",전기통신공사 및 보수,"4232, 4231",28C,"정보통신공사, 전기공사 및 유지보수, CCTV 시스템 및 방송장치의 설치 ","Installation and servicing of Telecomunication, Electric and Broadcasting Equipment and CCTV System",경기도 군포시 당산로148번길 7-3(금정동),"7-3, Dangsan-ro 148beon-gil, Gunpo-si, Gyeonggi-do, KOREA",,,www.shinangroup.co.kr ,0,,,,,,,,True
우성정공 주식회사,"Woosung Precision Industry Co., Ltd.",143-81-09869,,,김정훈,"제조, 도매","기계부품카바, 무역",2599,17B,"산업용 기계, 전기전자 및 의료기기용 금속가공 부품의 설계 및 생산","Design, Development, Manufacture of Metal Processed Parts for Industrial Machinary, Electric and Medical Device",경기도 화성시 봉담읍 왕림북길 22-11 (왕림리 42-6),"22-11, Wangnimbuk-gil, Bongdam-eup, Hwaseong-si, Gyeonggi-do, KOREA",,,,0,,,,,,,woosung4141@hanmail.net,True
㈜신원통상,SHINWON CORPORATION,135-81-28808,,,정용준,제조,"골판지, 인쇄업, 무역업","1721, 1722",07A,"포장용 상자(식품, 제약)의 생산",Production of Boxes for Food and Pharmaceutical,경기도 용인시 처인구 중부대로1762번길 90 (마평동),"90, Jungbu-daero 1762beon-gil, Cheoin-gu, Yongin-si, Gyeonggi-do, KOREA",,,,0,,,,,,,sinwon111@hanmail.net,True
㈜우주씨앤티,"WOOJU Communication&Technology Co., Ltd.",502-81-52906,,,우기찬,"건설, 제조 외",통신공사 외,4232,28C,정보통신공사의 시공,Construnction of Telecommunication Works,"대구광역시 동구 아양로 248, 5층 (효목동, 문영빌딩)","248, Ayang-ro, Dong-gu, Daegu, KOREA ",,,,0,,,,,,,,True
㈜인벤티홀딩스,"INVENTHOLDINGS Co., Ltd.",119-81-97017,,,박명규,"제조업,도매업 외",자동화부품 외,2928,18A,자동화설비 및 관련 부품의 설계/개발 및 제작,"Design, Development and Manufacture of Parts for Automation Equipment System",충청남도 아산시 도고면 도고면로 48-47,"48-47, Dogomyeon-ro, Dogo-myeon, Asan-si, Chungcheongnam-do, KOREA",,,,0,,,,,,,invent@inventholdings.co.kr,True
㈜인벤티홀딩스,"INVENTHOLDINGS Co., Ltd.",119-81-97017,,,박명규,"제조업,도매업 외",자동화부품 외,2928,18A,자동화설비 및 관련 부품의 설계/개발 및 제작,"Design, Development and Manufacture of Parts for Automation Equipment System",충청남도 아산시 도고면 도고면로 48-47,"48-47, Dogomyeon-ro, Dogo-myeon, Asan-si, Chungcheongnam-do, KOREA",,,,0,,,,,,,invent@inventholdings.co.kr,True
㈜동성통신,"DONG SUNG Communication Co., Ltd.",505-81-23017,,,"김윤섭, 김재형",건설업,통신공사,4232,28C,정보통신공사의 시공 및 부가서비스,Installation and Servicing of Information Telecommunication Works,대구광역시 북구 유통단지로24길 5-3 (산격동),"5-3, Yutongdanji-ro 24-gil, Buk-gu, Daegu, KOREA",,,,0,,,,,,,ds150093@daum.net,True
㈜대일정보통신,"DAEIL Information Telecom Co., Ltd.",515-81-24411,,,권경도,건설 외,정보통신공사(LAN) 외,"4232, 4231",28C,정보통신 및 전기공사의 시공 및 부가서비스,Construnction and service of Info-Communcation & Electric Works,"대구광역시 북구 검단로 135, 106동 113호 (검단동, 검단팩토리밸리)","135, Geomdan-ro, Buk-gu, Daegu, KOREA ",,,,0,,,,,,,kkd0327@hanmail.net,True
동신통신㈜,"DONG SHIN Telecommunication Co., Ltd.",502-81-05062,,,김기원/김인태,"건설업,서비스","통신공사, 석공사 외",4232,28C,정보통신공사의 시공 및 부가서비스,Installation and Servicing of Information Telecommunication Works,대구광역시 북구 동호길 56(동호동),"56, Dongho-gil, Buk-gu, Daegu, KOREA",,,,0,,,,,,,kdy721019@hanmail.net,True
